组名,标题意图,其他问法1,其他问法2,其他问法3,内容
常用回复,新用户注册,怎么注册？,怎么开通？,开通账号,"首先，在云片官网注册账号，账户内有10条测试短信；
其次，https://www.yunpian.com/admin/user_guide 填写好开发者信息，设置好ip白名单，让您那边的技术设置好短信发送的签名和模板，然后接入我们的短信api，以下是api文档：https://www.yunpian.com/api2.0/guide.html
测试成功后即可充值批量发短信了。"
常用回复,短信价格,怎么收费？,短信价格是多少？,多少钱,"国内短信资费：
账户余额以预充的方式，每次预充不得低于50元。
累计充值低于5000元，按照（5分/条）扣除短信费用，
累计充值超过5000元，按照（4.8分/条）扣除短信费用。
月发量超过10w条，这边找商务给您单独报价。"
常用回复,短信字数,短信字数多少算两条？,,,"一条短信是70个字符，中英文标点都算一个。 
超过70个按照67个来计算条数，最长可发400字。一条短信（在手机上显示的）最长可以发400字，400/67=5.9; 也就是要扣6条短信费用，70字以内的短信都扣1条短信费用。"
常用回复,高级用户保底消费,高级用户怎么开通？,,,"高级没有别的要求，也不另收费，就是会有个每月最低消费300元的协议。
成为高级用户之后，每月月初会冻结您300元，到月末如果用不完，就直接扣除剩余部分。"
常用回复,为什么会是黑名单,黑名单,黑名单什么意思,,"您好，黑名单是因为用户有过回复退订的行为，或者产生过投诉。
解除黑名单请点击发送失败-申请解除，稍等一会儿，我们后台会自动为您解除的。"
常用回复,短信限制问题,短信轰炸,轰炸规则,,"验证码防轰炸规则：（用户可以在 设置-系统设置 自行关闭）
1，同一手机号同一个验证码模板，每30秒只能获取一条。
2，同一个手机号验证码类内容，每小时最多能获取3条。
3，同一个手机号验证码类内容，每天最多能获取到10条。

非验证码短信限制（普通用户）
同一号码相同内容（一字不差的）24小时接收5条，不同内容同一号码24小时接收30条。该限制为运营商限制，无法更改。

防骚扰限制（无论什么级别的客户都有）
5分钟同一个内容同一个用户最多3条，30秒内同一个号码不重发（不可以解除限制）"
常用回复,新用户云片短信设置教程_,开通后怎么用？,,,云片短信设置教程：https://blog.yunpian.com/?p=94
常用回复,发送号码是什么是三网合一的吗,发短信的号码是什么？,是三网合一的吗？,,发送号码是1069开头的系统号码，有三网合一的通道。
常用回复,短信发送方式_,可以手工群发吗？,短信发送方式有哪几种？,,"云片短信有两种发送方式：
1、通过api接口发送；
2、手工短信群发。在云片后台手动操作。"
常用回复,黑名单,哪些情况手机号会进入黑名单？,,,"哪些情况手机号会进入黑名单？
1)之前投诉过运营商，如打过10086、10010或10000投诉的，可能会被运营商加入黑名单；
2)有过退订历史，如回复过含有T、TD、退订或取消等代表拒绝接收短信的指令。"
